Variables,Season,Site,Tide,mean_measures
NN,FALL,BP,High,0.315
NN,FALL,BP,Low,3.366
NN,FALL,W,High,0.218
NN,FALL,W,Low,0.664
NN,SPRING,BP,High,0.6678947368421052
NN,SPRING,BP,Low,8.358666666666666
NN,SPRING,W,High,0.17681818181818182
NN,SPRING,W,Low,1.5377272727272728
Phosphate,FALL,BP,High,0.1205
Phosphate,FALL,BP,Low,0.216
Phosphate,FALL,W,High,0.099
Phosphate,FALL,W,Low,0.1135
Phosphate,SPRING,BP,High,0.16736842105263158
Phosphate,SPRING,BP,Low,0.31866666666666665
Phosphate,SPRING,W,High,0.12045454545454545
Phosphate,SPRING,W,Low,0.20318181818181819
