date,AbsPressure,Depth
2021-01-15 09:54:30,101.686,-0.009
2021-01-15 09:54:40,101.617,-0.015
2021-01-15 09:54:50,101.737,-0.003
2021-01-15 09:55:00,101.772,0
2021-01-15 09:55:10,101.617,-0.015
2021-01-15 09:55:20,102.219,0.044
2021-01-15 09:55:30,101.583,-0.019
2021-01-15 09:55:40,101.497,-0.027
2021-01-15 09:55:50,101.617,-0.015
2021-01-15 09:56:00,104.561,0.277
2021-01-15 09:56:10,104.164,0.238
2021-01-15 09:56:20,104.423,0.264
2021-01-15 09:56:30,104.113,0.233
2021-01-15 09:56:40,104.388,0.26
2021-01-15 09:56:50,104.233,0.245
2021-01-15 09:57:00,104.354,0.257
2021-01-15 09:57:10,104.233,0.245
2021-01-15 09:57:20,104.474,0.269
2021-01-15 09:57:30,104.337,0.255
2021-01-15 09:57:40,104.612,0.283
2021-01-15 09:57:50,104.957,0.317
2021-01-15 09:58:00,104.767,0.298
2021-01-15 09:58:10,104.871,0.308
2021-01-15 09:58:20,104.767,0.298
2021-01-15 09:58:30,104.784,0.3
2021-01-15 09:58:40,104.612,0.283
2021-01-15 09:58:50,104.526,0.274
2021-01-15 09:59:00,104.371,0.259
2021-01-15 09:59:10,104.164,0.238
2021-01-15 09:59:20,104.285,0.25
2021-01-15 09:59:30,104.819,0.303
2021-01-15 09:59:40,104.388,0.26
2021-01-15 09:59:50,104.612,0.283
2021-01-15 10:00:00,104.199,0.241
2021-01-15 10:00:10,104.285,0.25
2021-01-15 10:00:20,104.354,0.257
2021-01-15 10:00:30,104.561,0.277
2021-01-15 10:00:40,104.561,0.277
2021-01-15 10:00:50,104.546,0.276
2021-01-15 10:01:00,104.77,0.298
2021-01-15 10:01:10,104.649,0.286
2021-01-15 10:01:20,104.718,0.293
2021-01-15 10:01:30,104.563,0.278
2021-01-15 10:01:40,104.374,0.259
2021-01-15 10:01:50,104.718,0.293
2021-01-15 10:02:00,104.615,0.283
2021-01-15 10:02:10,104.288,0.25
2021-01-15 10:02:20,104.735,0.295
2021-01-15 10:02:30,104.305,0.252
2021-01-15 10:02:40,104.305,0.252
2021-01-15 10:02:50,103.909,0.213
2021-01-15 10:03:00,104.15,0.237
2021-01-15 10:03:10,104.115,0.233
2021-01-15 10:03:20,104.167,0.238
2021-01-15 10:03:30,104.305,0.252
2021-01-15 10:03:40,104.253,0.247
2021-01-15 10:03:50,104.649,0.286
2021-01-15 10:04:00,104.408,0.262
2021-01-15 10:04:10,104.563,0.278
2021-01-15 10:04:20,104.46,0.267
2021-01-15 10:04:30,104.873,0.309
2021-01-15 10:04:40,104.753,0.297
2021-01-15 10:04:50,104.77,0.298
2021-01-15 10:05:00,104.512,0.273
2021-01-15 10:05:10,104.477,0.269
2021-01-15 10:05:20,104.615,0.283
2021-01-15 10:05:30,104.494,0.271
2021-01-15 10:05:40,104.253,0.247
2021-01-15 10:05:50,104.322,0.254
2021-01-15 10:06:00,104.408,0.262
2021-01-15 10:06:10,104.667,0.288
2021-01-15 10:06:20,104.322,0.254
2021-01-15 10:06:30,104.374,0.259
2021-01-15 10:06:40,104.512,0.273
2021-01-15 10:06:50,104.133,0.235
2021-01-15 10:07:00,104.46,0.267
2021-01-15 10:07:10,104.239,0.245
2021-01-15 10:07:20,104.686,0.29
2021-01-15 10:07:30,104.669,0.288
2021-01-15 10:07:40,104.48,0.269
2021-01-15 10:07:50,104.29,0.251
2021-01-15 10:08:00,104.618,0.283
2021-01-15 10:08:10,104.48,0.269
2021-01-15 10:08:20,104.325,0.254
2021-01-15 10:08:30,104.686,0.29
2021-01-15 10:08:40,104.893,0.31
2021-01-15 10:08:50,104.618,0.283
2021-01-15 10:09:00,104.6,0.281
2021-01-15 10:09:10,104.566,0.278
2021-01-15 10:09:20,104.549,0.276
2021-01-15 10:09:30,104.376,0.259
2021-01-15 10:09:40,104.066,0.228
2021-01-15 10:09:50,104.239,0.245
2021-01-15 10:10:00,104.204,0.242
2021-01-15 10:10:10,104.463,0.268
2021-01-15 10:10:20,104.221,0.244
2021-01-15 10:10:30,104.6,0.281
2021-01-15 10:10:40,104.549,0.276
2021-01-15 10:10:50,104.497,0.271
2021-01-15 10:11:00,104.841,0.305
2021-01-15 10:11:10,104.428,0.264
2021-01-15 10:11:20,104.6,0.281
2021-01-15 10:11:30,104.342,0.256
2021-01-15 10:11:40,104.376,0.259
2021-01-15 10:11:50,104.411,0.263
2021-01-15 10:12:00,104.618,0.283
2021-01-15 10:12:10,104.118,0.233
2021-01-15 10:12:20,104.686,0.29
2021-01-15 10:12:30,104.566,0.278
2021-01-15 10:12:40,104.445,0.266
2021-01-15 10:12:50,104.307,0.252
2021-01-15 10:13:00,104.497,0.271
2021-01-15 10:13:10,104.807,0.302
2021-01-15 10:13:20,104.359,0.257
2021-01-15 10:13:30,104.549,0.276
2021-01-15 10:13:40,104.17,0.239
2021-01-15 10:13:50,104.531,0.274
2021-01-15 10:14:00,104.256,0.247
2021-01-15 10:14:10,104.445,0.266
2021-01-15 10:14:20,104.48,0.269
2021-01-15 10:14:30,104.431,0.265
2021-01-15 10:14:40,104.465,0.268
2021-01-15 10:14:50,104.293,0.251
2021-01-15 10:15:00,104.569,0.278
2021-01-15 10:15:10,104.362,0.258
2021-01-15 10:15:20,104.827,0.304
2021-01-15 10:15:30,104.345,0.256
2021-01-15 10:15:40,104.5,0.271
2021-01-15 10:15:50,104.517,0.273
2021-01-15 10:16:00,104.465,0.268
2021-01-15 10:16:10,104.345,0.256
2021-01-15 10:16:20,104.379,0.259
2021-01-15 10:16:30,104.293,0.251
2021-01-15 10:16:40,104.534,0.275
2021-01-15 10:16:50,104.379,0.259
2021-01-15 10:17:00,104.672,0.289
2021-01-15 10:17:10,104.913,0.312
2021-01-15 10:17:20,104.345,0.256
2021-01-15 10:17:30,104.62,0.283
2021-01-15 10:17:40,104.62,0.283
2021-01-15 10:17:50,104.431,0.265
2021-01-15 10:18:00,104.758,0.297
2021-01-15 10:18:10,104.586,0.28
2021-01-15 10:18:20,104.517,0.273
2021-01-15 10:18:30,104.5,0.271
2021-01-15 10:18:40,104.345,0.256
2021-01-15 10:18:50,104.327,0.254
2021-01-15 10:19:00,104.448,0.266
2021-01-15 10:19:10,104.396,0.261
2021-01-15 10:19:20,104.569,0.278
2021-01-15 10:19:30,104.448,0.266
2021-01-15 10:19:40,104.775,0.299
2021-01-15 10:19:50,104.345,0.256
2021-01-15 10:20:00,104.431,0.265
2021-01-15 10:20:10,104.655,0.287
2021-01-15 10:20:20,104.502,0.272
2021-01-15 10:20:30,104.606,0.282
2021-01-15 10:20:40,104.485,0.27
2021-01-15 10:20:50,104.64,0.285
2021-01-15 10:21:00,104.657,0.287
2021-01-15 10:21:10,104.175,0.239
2021-01-15 10:21:20,104.313,0.253
2021-01-15 10:21:30,104.278,0.249
2021-01-15 10:21:40,104.778,0.299
2021-01-15 10:21:50,104.141,0.236
2021-01-15 10:22:00,104.296,0.251
2021-01-15 10:22:10,104.261,0.248
2021-01-15 10:22:20,104.313,0.253
2021-01-15 10:22:30,104.347,0.256
2021-01-15 10:22:40,104.502,0.272
2021-01-15 10:22:50,104.227,0.244
2021-01-15 10:23:00,104.468,0.268
2021-01-15 10:23:10,104.606,0.282
2021-01-15 10:23:20,104.537,0.275
2021-01-15 10:23:30,104.123,0.234
2021-01-15 10:23:40,104.502,0.272
2021-01-15 10:23:50,104.468,0.268
2021-01-15 10:24:00,104.347,0.256
2021-01-15 10:24:10,104.313,0.253
2021-01-15 10:24:20,104.433,0.265
2021-01-15 10:24:30,103.917,0.213
2021-01-15 10:24:40,104.364,0.258
2021-01-15 10:24:50,104.192,0.241
2021-01-15 10:25:00,104.399,0.261
2021-01-15 10:25:10,104.212,0.243
2021-01-15 10:25:20,104.52,0.273
2021-01-15 10:25:30,104.712,0.292
2021-01-15 10:25:40,104.574,0.279
2021-01-15 10:25:50,104.471,0.269
2021-01-15 10:26:00,104.677,0.289
2021-01-15 10:26:10,104.367,0.258
2021-01-15 10:26:20,104.505,0.272
2021-01-15 10:26:30,104.488,0.27
