fragment.ID,rate.type,E,Eh,lnc,Th,Topt,site.letter
PA46_C,C,0.34574547,1.592010148,0.608808752,307.0863568,300.6760667,A
PA46_D,R,0.131863185,4.345021642,0.349611209,316.2855244,309.5567155,A
PA46_L,GP,0.422131188,2.618237556,1.184500676,307.5879671,302.5355685,A
PA48_C,C,0.130663658,6.673343005,0.250221929,310.9200777,306.1089026,A
PA48_D,R,0.126241035,3.061237126,0.422626764,316.8936773,308.2398463,A
PA48_L,GP,0.45756824,2.778633451,1.014961038,308.1798487,303.4685429,A
PA49_C,C,0.096334411,4.570048204,0.172523288,312.1606918,305.2621167,A
PA49_D,R,0.111412271,4.029265648,0.291286551,316.9362069,309.4661502,A
PA49_L,GP,0.275506472,2.536692331,0.813349985,309.6090334,302.900734,A
PA50_C,C,0.271326692,1.637649496,0.349041955,310.3802523,302.3939831,A
PA50_D,R,0.093926015,2.5720771,0.228449401,319.1084453,308.3171517,A
PA50_L,GP,0.342421126,2.550962402,0.764025956,308.8711563,302.9766639,A
PA51_C,C,0.395119562,1.434807605,0.40136717,308.2450298,302.8195398,A
PA51_D,R,0.074651151,4.854465466,0.263791012,317.6266147,310.3462567,A
PA51_L,GP,0.361125975,2.703882545,0.779617448,309.0725235,303.4811326,A
PA52_C,C,0.451546524,2.074433875,0.437277144,308.0001167,303.0384996,A
PA52_D,R,0.122119253,2.709080249,0.341100608,317.2589761,307.7728114,A
PA52_L,GP,0.423637176,2.859847096,1.0745059,308.2035873,303.2751572,A
PA53_C,C,0.321761954,1.704105378,0.425723405,308.9218333,302.0416284,A
PA53_D,R,0.128199759,2.221069413,0.417802748,317.3795305,306.8249898,A
PA53_L,GP,0.401822921,2.742580327,1.010473678,308.4349348,303.2543565,A
PA54_C,C,1.561052188,1.917248557,1.640791354,295.6707049,301.5948779,A
PA54_D,R,0.143993496,2.504804972,0.346679181,317.2601545,307.858772,A
PA54_L,GP,0.495241342,2.406075518,1.091558874,307.2695434,302.769223,A
PA37_C,C,0.594965332,1.275952209,0.815205677,301.9346251,301.1052211,B
PA37_D,R,0.185161878,2.157344202,0.549741771,315.3109477,306.1852826,B
