Waypoint,Zone,Lat,Long,Site,Season,Tide_time,Temp_in,Salinity,Phosphate,Silicate,NN,pH,TA,percent_sgd
1,Transition,21.27531,-157.76181,W,SPRING,Low_Day,23.75505834,27.7402879,0.54,157.93,7.92,7.909,2161.48229,20.40439276
2,Transition,21.27523,-157.76265,W,SPRING,Low_Day,23.53255956,30.6119226,0.36,92.59,3.37,7.965,2145.827701,11.9625323
3,Transition,21.27504,-157.76328,W,SPRING,Low_Day,22.63449814,28.37007862,0.5,143.6,7.29,8.023,2272.39081,18.55297158
4,Transition,21.27449,-157.76402,W,SPRING,Low_Day,24.01982367,32.82124424,0.25,42.32,0.79,7.995,2219.583262,5.467700258
5,Diffuse,21.27503,-157.7617,W,SPRING,Low_Day,23.26102354,29.12292683,0.5,126.47,7.45,8.005,2151.825559,16.33979328
6,Diffuse,21.27485,-157.76234,W,SPRING,Low_Day,24.00516582,34.0201759,0.13,15.04,0.46,8.019,2216.7581,1.943152455
7,Diffuse,21.27463,-157.76318,W,SPRING,Low_Day,23.72550249,32.20639623,0.28,56.31,1.59,8.003,2220.335875,7.275193798
8,Diffuse,21.27436,-157.76364,W,SPRING,Low_Day,24.08231046,33.66594609,0.15,23.1,0.34,7.978,2266.862576,2.984496124
9,Diffuse,21.27456,-157.76126,W,SPRING,Low_Day,24.61700769,32.66478542,0.23,45.88,1.91,7.972,2189.458388,5.927648579
10,Diffuse,21.27427,-157.76208,W,SPRING,Low_Day,23.8898623,34.34759675,0.11,7.59,0.25,7.959,2240.714341,0.980620155
11,Diffuse,21.27399,-157.76295,W,SPRING,Low_Day,23.87418146,34.2073991,0.11,10.78,0.26,7.953,2295.977644,1.392764858
12,Diffuse,21.27377,-157.76344,W,SPRING,Low_Day,23.97824596,34.00567269,0.13,15.37,0.36,7.924,2212.963581,1.985788114
13,Ambient,21.27353,-157.76089,W,SPRING,Low_Day,24.10860383,34.57789008,0.09,2.35,0.2,7.933,2277.045233,0.303617571
14,Ambient,21.27328,-157.76164,W,SPRING,Low_Day,24.06194201,34.57832957,0.09,2.34,0.19,7.989,2294.263212,0.302325581
15,Ambient,21.27309,-157.76244,W,SPRING,Low_Day,23.85659446,34.57085822,0.11,2.51,0.16,7.957,2309.947719,0.324289406
16,Ambient,21.27288,-157.76306,W,SPRING,Low_Day,23.87478944,34.47636764,0.09,4.66,0.19,7.925,2268.419106,0.602067183
17,Ambient,21.27254,-157.76073,W,SPRING,Low_Day,24.51562606,34.59942514,0.12,1.86,0.26,7.997,2274.630462,0.240310078
18,Ambient,21.27214,-157.76118,W,SPRING,Low_Day,24.56946139,34.581406,0.11,2.27,0.2,7.986,2221.496044,0.293281654
19,Ambient,21.27206,-157.76196,W,SPRING,Low_Day,24.77369034,34.60733598,0.12,1.68,0.13,7.996,2263.358534,0.217054264
20,Ambient,21.27185,-157.76279,W,SPRING,Low_Day,24.97791928,34.59854616,0.12,1.88,0.18,7.963,2278.298318,0.242894057
41,Near Spring,21.27585,-157.76212,W,SPRING,Low_Day,NA,24.83173596,1.33,224.11,27.65,8.463,1862.585914,28.95478036
44,Offshore,21.26879,-157.76039,W,SPRING,Low_Day,24.43115441,34.60953343,0.12,1.63,0.13,7.975,2274.315854,0.210594315
45,Offshore,21.26879,-157.76039,W,SPRING,Low_Day,24.43115441,34.59459074,0.21,1.97,0.2,7.933,2294.499484,0.254521964
